header,type,include_count_unconditional,include_count_conditional,total_tu,ratio_unconditional,gameclient_ratio,in_conditional_dominant,aggregator_coverage,recent_changes_6mo,target_pch
algorithm,system,62,1,233,0.266,0.000,false,,0,unified
Object/ObjectFactory.h,project,50,0,233,0.215,0.444,false,,1,unified
GameFramework/AActor.h,project,46,0,233,0.197,0.111,false,,1,unified
GameFramework/World.h,project,44,1,233,0.189,0.556,false,,1,unified
Core/Log.h,project,42,0,233,0.180,0.000,false,,1,unified
cmath,system,33,0,233,0.142,0.000,false,,0,unified
Serialization/Archive.h,project,32,0,233,0.137,0.000,false,,1,unified
Component/CameraComponent.h,project,25,0,233,0.107,0.444,false,,1,unified
cstring,system,22,2,233,0.094,0.000,false,,0,unified
filesystem,system,22,1,233,0.094,0.444,false,,0,unified
Materials/Material.h,project,21,0,233,0.090,0.000,false,,1,unified
Materials/MaterialManager.h,project,19,0,233,0.082,0.000,false,,1,unified
Component/ActorComponent.h,project,17,0,233,0.073,0.000,false,,1,unified
Engine/Platform/Paths.h,project,17,0,233,0.073,0.444,false,,1,unified
fstream,system,17,0,233,0.073,0.333,false,,0,unified
GameFramework/PlayerController.h,project,17,0,233,0.073,0.333,false,,1,unified
Math/MathUtils.h,project,17,0,233,0.073,0.000,false,,1,unified
SolInclude.h,project,17,0,233,0.073,0.000,false,,0,unified
LuaBindings.h,project,15,0,233,0.064,0.000,false,,0,unified
Render/Scene/FScene.h,project,15,0,233,0.064,0.111,false,,1,unified
Render/Shader/ShaderManager.h,project,15,0,233,0.064,0.000,false,,1,unified
Render/Types/FrameContext.h,project,15,0,233,0.064,0.000,false,,1,unified
Component/SceneComponent.h,project,14,0,233,0.060,0.000,false,,1,unified
Component/StaticMeshComponent.h,project,14,0,233,0.060,0.000,false,,1,unified
LuaHandles.h,project,14,0,233,0.060,0.000,false,,0,unified
RenderPassRegistry.h,project,14,0,233,0.060,0.000,false,,0,unified
Component/PrimitiveComponent.h,project,13,0,233,0.056,0.000,false,,1,unified
SimpleJSON/json.hpp,project,13,0,233,0.056,0.333,false,,0,unified
Object/Object.h,project,12,0,233,0.052,0.222,false,,1,unified
Platform/Paths.h,project,12,0,233,0.052,0.111,false,,1,unified
LuaBindingHelper.h,project,11,0,233,0.047,0.000,false,,0,unified
Math/Vector.h,project,11,0,233,0.047,0.000,false,,1,unified
Render/Device/D3DDevice.h,project,11,0,233,0.047,0.000,false,,1,unified
Texture/Texture2D.h,project,11,0,233,0.047,0.000,false,,1,unified
cctype,system,10,0,233,0.043,0.000,false,,0,unified
Component/BillboardComponent.h,project,10,0,233,0.043,0.000,false,,1,unified
GameFramework/Pawn.h,project,10,0,233,0.043,0.111,false,,1,unified
Math/Rotator.h,project,10,0,233,0.043,0.000,false,,1,unified
Profiling/Stats.h,project,10,0,233,0.043,0.000,false,,1,unified
Component/Movement/MovementComponent.h,project,9,0,233,0.039,0.000,false,,1,unified
Engine/Runtime/Engine.h,project,9,0,233,0.039,0.000,false,,1,unified
Render/Proxy/PrimitiveSceneProxy.h,project,9,0,233,0.039,0.000,false,,1,unified
Mesh/MeshManager.h,project,8,0,233,0.034,0.000,false,,1,unified
Render/Resource/MeshBufferManager.h,project,8,0,233,0.034,0.000,false,,1,unified
Render/Types/RenderConstants.h,project,8,0,233,0.034,0.000,false,,1,unified
Resource/ResourceManager.h,project,8,0,233,0.034,0.000,false,,1,unified
Collision/RayUtils.h,project,7,0,233,0.030,0.000,false,,1,unified
Component/ControllerInputComponent.h,project,7,0,233,0.030,0.000,false,,1,unified
Engine/Input/InputSystem.h,project,7,0,233,0.030,0.222,false,,1,unified
fbxsdk.h,system,7,0,233,0.030,0.000,false,,0,unified
